accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	num_date
OP747057	OP747057.1	MpxV/human/USA/WA-UW-091890/2022	2022-09-XX	North America	USA	Washington		Homo sapiens	2022-10-31	SRR22102843	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1	0.9999898584750188	1	607	1	good	good	good	good	good		False	[2022.6671232876713:2022.7465753424658]
OP748950	OP748950.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00264/2022	2022-09-07	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9728460668630742	4665	601	0	good	good	good	good	good	OPG210:794-1881	False	2022.6835616438357
OP748967	OP748967.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00281/2022	2022-10-18	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.968170823846782	4720	594	1	good	good	good	good	good		False	2022.795890410959
OP752116	OP752116.1	MPXV_USA_2022_OR0005	2022-07-XX	North America	USA	Oregon		Homo sapiens	2022-11-01	SRR22110856	Gigante et al.	Gigante,C.M.,Cogswell,K.,Zhao,H.,Batra,D.,Hetrick,E.E.,Howard,D.T.,Kovar,L.,Seabolt,M.H.,Morrison,S.S.,Desch,M.,Knipe,K.,Weigand,M.R.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Grenz,L.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1	0.999781957212906	43	610	0	good	good	good	good	good		False	[2022.4972602739726:2022.5794520547945]
OP819953	OP819953.1	VAC_INS_MPX_0960_L	2022-10-15	South America	Colombia	Valle del Cauca		Homo sapiens	2022-11-14		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.16	0.939465237387746	11814	555	0	mediocre	good	good	good	good		False	2022.7876712328766
OP819955	OP819955.1	VAC_INS_MPX_0962_C	2022-10-13	South America	Colombia	Valle del Cauca		Homo sapiens	2022-11-14		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.16	0.9796256763129472	3894	603	0	good	good	good	good	good		False	2022.782191780822
OP819959	OP819959.1	SAN_INS_MPX_0971_L	2022-10-11	South America	Colombia	Santander		Homo sapiens	2022-11-14		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.16	0.96486975746543	6804	585	0	good	good	good	good	good		False	2022.7767123287672
OP879754	OP879754.1	NJ-MPXV-039	2022-07-18	North America	USA	New Jersey		Homo sapiens	2022-11-22	SRR22321701	Palmateer et al.	Palmateer,N.C.	New Jersey Department of Health, Public Health and Environmental Laboratories	IIb	hMPXV-1	B.1.3	0.9603466373238544	6262	598	2	good	good	good	good	good		False	2022.5438356164384
OP881946	OP881946.1	MPXV_USA_2022_FL0027	2022-09-XX	North America	USA	Florida		Homo sapiens	2022-11-23	SRR22383423	Gigante et al.	Gigante,C.,Lee,P.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Stanek,D.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.2	0.9997920987378872	41	611	0	good	good	good	good	good		False	[2022.6671232876713:2022.7465753424658]
OP890563	OP890563.1	MPXV/Human/USA/CA-LACPHL-MA00335/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9890015161579848	621	603	0	good	good	good	good	good		False	2022.8561643835617
