# started on Wed Jul 29 05:22:39 2026

29471.81,msec,task-clock,29471807724,100.00,7.782,CPUs utilized
7478,,context-switches,29471807724,100.00,253.734,/sec
80,,cpu-migrations,29471807724,100.00,2.714,/sec
121760,,page-faults,29471807724,100.00,4.131,K/sec
143668161066,,cycles,19632715622,66.00,,
198613845615,,instructions,24546986227,83.00,1.38,insn per cycle
20357091489,,branches,24550161280,83.00,690.731,M/sec
213151633,,branch-misses,24568549025,83.00,1.05,of all branches
6501030188,,cache-references,24568699820,83.00,220.585,M/sec
106933804,,cache-misses,24567105149,83.00,1.64,of all cache refs
